model_name,model_family,alpha_fixed,alpha_estimate,fit_success,converged,hessian_warning_flag,convergence_warning_flag,covariance_warning_flag,covariance_error,warning_count,n_rows,total_crashes,zero_count_rows,aic,bic,log_likelihood,pearson_chi_square,residual_df,pearson_overdispersion_ratio,parameter_count,df_model,sparse_category_warning_count,interpretable,interpretability_note
NB0_exposure_only_active,fixed_alpha_negative_binomial_glm,0.25,0.25,True,True,False,False,False,,0,2967,12414,831,14862.67703225899,14868.67233887928,-7430.338516129495,10890.069238770708,2966.0,3.671634942269288,1,0.0,0,True,stable_for_internal_review
NB0_exposure_only_active,fixed_alpha_negative_binomial_glm,0.5,0.5,True,True,False,False,False,,0,2967,12414,831,14016.646838820401,14022.642145440692,-7007.323419410201,8271.437752469994,2966.0,2.788751770893457,1,0.0,0,True,stable_for_internal_review
NB0_exposure_only_active,fixed_alpha_negative_binomial_glm,1.0,1.0,True,True,False,False,False,,0,2967,12414,831,13706.289873079573,13712.285179699864,-6852.144936539787,5975.967640493227,2966.0,2.014823884185174,1,0.0,0,True,stable_for_internal_review
NB0_exposure_only_active,fixed_alpha_negative_binomial_glm,2.0,2.0,True,True,False,False,False,,0,2967,12414,831,14047.304393647373,14053.299700267664,-7022.652196823687,4192.350108681426,2966.0,1.413469355590501,1,0.0,0,True,stable_for_internal_review
NB1_window_direction_active,fixed_alpha_negative_binomial_glm,0.25,0.25,True,True,False,False,False,,0,2967,12414,831,14809.791115655986,14827.777035516858,-7401.895557827993,11275.030719273935,2964.0,3.803991470740194,3,2.0,0,True,stable_for_internal_review
NB1_window_direction_active,fixed_alpha_negative_binomial_glm,0.5,0.5,True,True,False,False,False,,0,2967,12414,831,13986.800142847167,14004.786062708039,-6990.4000714235835,8611.362714609319,2964.0,2.9053180548614437,3,2.0,0,True,stable_for_internal_review
NB1_window_direction_active,fixed_alpha_negative_binomial_glm,1.0,1.0,True,True,False,False,False,,0,2967,12414,831,13692.890795277384,13710.876715138256,-6843.445397638692,6249.877312645183,2964.0,2.1085955845631523,3,2.0,0,True,stable_for_internal_review
NB1_window_direction_active,fixed_alpha_negative_binomial_glm,2.0,2.0,True,True,False,False,False,,0,2967,12414,831,14043.629867565653,14061.615787426525,-7018.814933782826,4396.529712386067,2964.0,1.4833096195634505,3,2.0,0,True,stable_for_internal_review
NB2_add_access_no_interaction_active,fixed_alpha_negative_binomial_glm,0.25,0.25,True,True,False,False,False,,0,2967,12414,831,14776.494832649394,14818.46197899143,-7381.247416324697,11313.083936862273,2960.0,3.8219878165075247,7,6.0,0,True,stable_for_internal_review
NB2_add_access_no_interaction_active,fixed_alpha_negative_binomial_glm,0.5,0.5,True,True,False,False,False,,0,2967,12414,831,13970.893575488022,14012.860721830059,-6978.446787744011,8639.659441264084,2960.0,2.9188038652919204,7,6.0,0,True,stable_for_internal_review
NB2_add_access_no_interaction_active,fixed_alpha_negative_binomial_glm,1.0,1.0,True,True,False,False,False,,0,2967,12414,831,13687.518913036321,13729.486059378358,-6836.759456518161,6263.179466134003,2960.0,2.115939008829055,7,6.0,0,True,stable_for_internal_review
NB2_add_access_no_interaction_active,fixed_alpha_negative_binomial_glm,2.0,2.0,True,True,False,False,False,,0,2967,12414,831,14044.01021130963,14085.977357651667,-7015.005105654815,4400.180129327486,2960.0,1.4865473409890155,7,6.0,0,True,stable_for_internal_review
NB3_access_interaction_no_speed_active,fixed_alpha_negative_binomial_glm,0.25,0.25,True,True,False,False,False,,0,2967,12414,831,14736.089478312195,14802.037851135394,-7357.044739156097,11272.58106343692,2956.0,3.8134577345862386,11,10.0,0,True,stable_for_internal_review
NB3_access_interaction_no_speed_active,fixed_alpha_negative_binomial_glm,0.5,0.5,True,True,False,False,False,,0,2967,12414,831,13942.07818589835,14008.026558721549,-6960.039092949175,8618.991970305891,2956.0,2.915761830279395,11,10.0,0,True,stable_for_internal_review
NB3_access_interaction_no_speed_active,fixed_alpha_negative_binomial_glm,1.0,1.0,True,True,False,False,False,,0,2967,12414,831,13669.59727794667,13735.54565076987,-6823.798638973335,6262.850704018903,2956.0,2.118691036542254,11,10.0,0,True,stable_for_internal_review
NB3_access_interaction_no_speed_active,fixed_alpha_negative_binomial_glm,2.0,2.0,True,True,False,False,False,,0,2967,12414,831,14035.433214546352,14101.381587369551,-7006.716607273176,4414.317575344114,2956.0,1.4933415342842062,11,10.0,0,True,stable_for_internal_review
NB4_access_interaction_speed_simplified_active,fixed_alpha_negative_binomial_glm,0.25,0.25,True,True,False,False,False,,0,2967,12414,831,14678.229067512762,14768.158666817124,-7324.114533756381,11364.095155263094,2952.0,3.849625730102674,15,14.0,0,True,stable_for_internal_review
NB4_access_interaction_speed_simplified_active,fixed_alpha_negative_binomial_glm,0.5,0.5,True,True,False,False,False,,0,2967,12414,831,13905.4972268079,13995.426826112262,-6937.74861340395,8728.179951038963,2952.0,2.956700525419703,15,14.0,0,True,stable_for_internal_review
NB4_access_interaction_speed_simplified_active,fixed_alpha_negative_binomial_glm,1.0,1.0,True,True,False,False,False,,0,2967,12414,831,13650.238323821299,13740.16792312566,-6810.119161910649,6381.556889280047,2952.0,2.161774013983756,15,14.0,0,True,stable_for_internal_review
NB4_access_interaction_speed_simplified_active,fixed_alpha_negative_binomial_glm,2.0,2.0,True,True,False,False,False,,0,2967,12414,831,14028.147626545551,14118.077225849913,-6999.073813272776,4533.46143602003,2952.0,1.5357254187059723,15,14.0,0,True,stable_for_internal_review
