variable_name,local_access_density_label,row_count,assigned_crash_count,zero_count_rows,low_exposure_rows,estimated_exposure,category_value,zero_count_share,low_exposure_share,sparse_category_flag,speed_band_simplified,analysis_window_readable
local_access_density_band,0,2170,7077,665,282,4397324402.637187,0,0.3064516129032258,0.12995391705069123,False,,
local_access_density_band,>0-1,166,926,25,1,629212829.5451057,>0-1,0.15060240963855423,0.006024096385542169,False,,
local_access_density_band,1-3,391,2855,84,5,1326848473.9942763,1-3,0.21483375959079284,0.01278772378516624,False,,
local_access_density_band,3-6,172,1297,31,4,612284358.4459378,3-6,0.18023255813953487,0.023255813953488372,False,,
local_access_density_band,6+,68,259,26,5,143285295.0820045,6+,0.38235294117647056,0.07352941176470588,False,,
speed_band_simplified,,1253,4553,358,102,2792663860.1577463,30-39 mph,0.2857142857142857,0.08140462889066241,False,30-39 mph,
speed_band_simplified,,412,1013,165,124,436426457.77177644,<30 mph,0.40048543689320387,0.30097087378640774,False,<30 mph,
speed_band_simplified,,897,5408,171,44,2991644044.3992195,40-49 mph,0.19063545150501673,0.04905239687848383,False,40-49 mph,
speed_band_simplified,,224,810,64,13,579560183.6142279,50+ mph,0.2857142857142857,0.05803571428571429,False,50+ mph,
speed_band_simplified,,181,630,73,14,308660813.76154155,missing/review speed,0.40331491712707185,0.07734806629834254,False,missing/review speed,
analysis_window_by_access,0,1214,4671,328,120,2600055386.0970364,"0-1,000 ft|0",0.2701812191103789,0.09884678747940692,False,,"0-1,000 ft"
analysis_window_by_access,>0-1,110,681,17,0,427879872.6806081,"0-1,000 ft|>0-1",0.15454545454545454,0.0,False,,"0-1,000 ft"
analysis_window_by_access,1-3,271,2174,54,4,950347726.671741,"0-1,000 ft|1-3",0.1992619926199262,0.014760147601476014,False,,"0-1,000 ft"
analysis_window_by_access,3-6,115,853,17,2,432834599.98583144,"0-1,000 ft|3-6",0.14782608695652175,0.017391304347826087,False,,"0-1,000 ft"
analysis_window_by_access,6+,36,133,15,0,94820115.38153969,"0-1,000 ft|6+",0.4166666666666667,0.0,False,,"0-1,000 ft"
analysis_window_by_access,0,956,2406,337,162,1797269016.540151,"1,000-2,500 ft|0",0.35251046025104604,0.1694560669456067,False,,"1,000-2,500 ft"
analysis_window_by_access,>0-1,56,245,8,1,201332956.8644976,"1,000-2,500 ft|>0-1",0.14285714285714285,0.017857142857142856,False,,"1,000-2,500 ft"
analysis_window_by_access,1-3,120,681,30,1,376500747.3225352,"1,000-2,500 ft|1-3",0.25,0.008333333333333333,False,,"1,000-2,500 ft"
analysis_window_by_access,3-6,57,444,14,2,179449758.46010634,"1,000-2,500 ft|3-6",0.24561403508771928,0.03508771929824561,False,,"1,000-2,500 ft"
analysis_window_by_access,6+,32,126,11,5,48465179.7004648,"1,000-2,500 ft|6+",0.34375,0.15625,False,,"1,000-2,500 ft"
analysis_window_by_speed_simplified,,740,3271,188,52,1763397908.6985607,"0-1,000 ft|30-39 mph",0.25405405405405407,0.07027027027027027,False,30-39 mph,"0-1,000 ft"
analysis_window_by_speed_simplified,,233,700,78,54,276612010.78387576,"0-1,000 ft|<30 mph",0.33476394849785407,0.2317596566523605,False,<30 mph,"0-1,000 ft"
analysis_window_by_speed_simplified,,510,3441,79,8,1870577718.4379227,"0-1,000 ft|40-49 mph",0.15490196078431373,0.01568627450980392,False,40-49 mph,"0-1,000 ft"
analysis_window_by_speed_simplified,,116,533,28,4,323198642.839528,"0-1,000 ft|50+ mph",0.2413793103448276,0.034482758620689655,False,50+ mph,"0-1,000 ft"
analysis_window_by_speed_simplified,,147,567,58,8,272151420.05686945,"0-1,000 ft|missing/review speed",0.3945578231292517,0.05442176870748299,False,missing/review speed,"0-1,000 ft"
analysis_window_by_speed_simplified,,513,1282,170,50,1029265951.4591855,"1,000-2,500 ft|30-39 mph",0.3313840155945419,0.09746588693957114,False,30-39 mph,"1,000-2,500 ft"
analysis_window_by_speed_simplified,,179,313,87,70,159814446.98790064,"1,000-2,500 ft|<30 mph",0.4860335195530726,0.39106145251396646,False,<30 mph,"1,000-2,500 ft"
analysis_window_by_speed_simplified,,387,1967,92,36,1121066325.9612968,"1,000-2,500 ft|40-49 mph",0.23772609819121446,0.09302325581395349,False,40-49 mph,"1,000-2,500 ft"
analysis_window_by_speed_simplified,,108,277,36,9,256361540.77469993,"1,000-2,500 ft|50+ mph",0.3333333333333333,0.08333333333333333,False,50+ mph,"1,000-2,500 ft"
analysis_window_by_speed_simplified,,34,63,15,6,36509393.704672076,"1,000-2,500 ft|missing/review speed",0.4411764705882353,0.17647058823529413,False,missing/review speed,"1,000-2,500 ft"
