metric,value,raw_value,class,status
assigned_crashes_total,13216,,,
assigned_crashes_with_area_type,13216,,,
assigned_crashes_urban,11915,,,
assigned_crashes_rural,1301,,,
assigned_crashes_unknown_area_type,0,,,
bins_with_urban_or_rural_crash_summary,8552,,,
signals_with_urban_or_rural_crash_summary,859,,,
roadway_urban_rural_context_status,source_not_found,,,
crash_direction_fields_read_or_used,False,,,
raw_area_type_value,1301,Rural,rural,area_type_classified
raw_area_type_value,11915,Urban,urban,area_type_classified
