source_name,field_name,candidate_roles
VDOT_Routes,RTE_NM,candidate_route_identity_field
VDOT_Routes,RTE_COMMON_NM,candidate_route_identity_field
VDOT_Routes,RTE_CATEGORY_NM,candidate_route_identity_field
VDOT_Routes,RTE_JURIS_CD,candidate_route_identity_field|jurisdiction_context_field
VDOT_Routes,RTE_JURIS_PROPER_NM,candidate_route_identity_field|jurisdiction_context_field
VDOT_Routes,RTE_NBR,candidate_route_identity_field
VDOT_Routes,RTE_TYPE_CD,candidate_route_identity_field
VDOT_Routes,RTE_TYPE_NM,candidate_route_identity_field
VDOT_Routes,RTE_TYPE_MODIFIER_CD,candidate_route_identity_field
VDOT_Routes,RTE_TYPE_MODIFIER_NM,candidate_route_identity_field
VDOT_Routes,RTE_TYPE_MODIFIER_SEQ,candidate_route_identity_field
VDOT_Routes,RTE_SPCL_FEATURE_TYPE_CD,candidate_route_identity_field
VDOT_Routes,RTE_SPCL_FEATURE_TYPE_NM,candidate_route_identity_field
VDOT_Routes,RTE_SPCL_FEATURE_NBR,candidate_route_identity_field
VDOT_Routes,RTE_RAMP_CD,candidate_route_identity_field
VDOT_Routes,RTE_STATUS_CD,candidate_route_identity_field
VDOT_Routes,RTE_STATUS_NM,candidate_route_identity_field
VDOT_Routes,RTE_STREET_PREFIX_DIR_CD,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_STREET_PREFIX,candidate_route_identity_field
VDOT_Routes,RTE_STREET_NM,candidate_route_identity_field
VDOT_Routes,RTE_STREET_TYPE,candidate_route_identity_field
VDOT_Routes,RTE_STREET_SUFFIX_DIR_CD,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_DIRECTION_CD,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_PRIME_DIRECTION_CD,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_EXPRESS_IND,candidate_route_identity_field
VDOT_Routes,RTE_PARENT_RTE_NM,candidate_route_identity_field
VDOT_Routes,RTE_PARENT_COMMON_NM,candidate_route_identity_field
VDOT_Routes,RTE_SOURCE_CD,candidate_route_identity_field
VDOT_Routes,RTE_CATEGORY_SET_CD,candidate_route_identity_field
VDOT_Routes,RTE_CATEGORY_LEVEL_NBR,candidate_route_identity_field
VDOT_Routes,RTE_LEVEL_MODIFIER_NBR,candidate_route_identity_field
VDOT_Routes,RTE_LEVEL_EFFECTIVE_NBR,candidate_route_identity_field
VDOT_Routes,RTE_STATE_CD,candidate_route_identity_field
VDOT_Routes,RTE_NAME_DEFINITION_CD,candidate_route_identity_field
VDOT_Routes,RTE_ABSOLUTE_DIRECTION_CD,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_OPPOSITE_DIRECTION_RTE_NM,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_OPPOSITE_DIRECTION_CMN_NM,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_SIGNED_DIRECTION_CD,candidate_route_identity_field|directionality_field
VDOT_Routes,RTE_SOURCE_ID,candidate_route_identity_field
VDOT_Routes,RTE_RAMP_DSC,candidate_route_identity_field
VDOT_Routes,RTE_DSC,candidate_route_identity_field
VDOT_Routes,RTE_MEASURE_SYSTEM_CD,candidate_route_identity_field|measure_field
VDOT_Routes,ROUTESYSIDSHORT,candidate_route_identity_field
Speed_Limit_RNS,RTE_NM,candidate_route_identity_field
Speed_Limit_RNS,FROM_MEASURE,candidate_route_identity_field|measure_field
Speed_Limit_RNS,TO_MEASURE,candidate_route_identity_field|measure_field
Speed_Limit_RNS,EDGE_RTE_KEY,candidate_route_identity_field
Speed_Limit_RNS,TRANSPORT_EDGE_ID,candidate_route_identity_field
Speed_Limit_RNS,TRANSPORT_EDGE_FROM_MSR,candidate_route_identity_field|measure_field
Speed_Limit_RNS,TRANSPORT_EDGE_TO_MSR,candidate_route_identity_field|measure_field
Speed_Limit_RNS,MASTER_RTE_NM,candidate_route_identity_field
Speed_Limit_RNS,MASTER_EDGE_RTE_KEY,candidate_route_identity_field
Speed_Limit_RNS,CAR_SPEED_LIMIT,candidate_speed_field
Speed_Limit_RNS,FINAL_SPEED_LIMIT_SOURCE,candidate_speed_field
Speed_Limit_RNS,TRUCK_SPEED_LIMIT,candidate_speed_field
Speed_Limit_RNS,SPEEDZONE_TYPE_DSC,candidate_speed_field
Speed_Limit_RNS,IDENTIFY_CODE,candidate_route_identity_field
